well,date,Li,Be,B,Na,Mg,Al,Si,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,NH4,F,Cl,NO2,NO3,SO4,PO4,DOC,temperature,EC,Eh,TDS,pH,d2H,d18O,d_excess,UTM_E,UTM_N
w28,2019/04,0.34,0.01,6.33,3999,4136,5.81,9746,3009,13283,0.8,0.22,0.91,0.61,826,27971,3.35,0.49,0.06,2.88,0.025,0.049,1.37,1.3,13.6,167,0.34,0.02,0.016,0.22,0.0028,0.008,0.14,0.01,0.19,371,0.318,0.769,0.083,0.392,0.075,0.017,0.06,0.007,0.04,0.009,0.026,0.003,0.024,0.004,0.001,0.01,0.003,0.037,0.017,0.0014,0.01,0.007,1.21,0.22,2.53,<LQ,<LQ,0.32,0.18,3,23.1,197.1,143.5,128.12,6.52,-17.2,-3.47,10.56,287257,7484231
w29,2019/04,1.02,0.01,18.4,56949,6661,2.86,13291,4858,35726,0.51,2.51,1.88,0.39,2.9,5.98,0.11,0.66,0.99,4.92,0.013,0.019,0.14,1.3,10.3,266,0.17,0.008,0.016,0.06,0.0028,0.004,0.14,0.05,0.22,337,0.139,0.1,0.027,0.113,0.021,0.005,0.022,0.003,0.016,0.005,0.023,0.004,0.041,0.009,0.001,0.01,0.003,0.075,0.006,0.0014,0.01,0.043,<LQ,0.25,30.1,0.06,34.5,29.1,0.17,1.2,23.9,409.2,290.4,265.98,6.59,-42,-7.28,16.24,287239,7484391
w31,2019/04,0.94,0.01,14.4,41077,8648,12.93,14415,2804,39378,0.52,1.64,0.71,0.17,51.2,110,0.26,0.43,1.06,3.01,0.026,0.016,0.21,1.3,7.7,475,0.11,0.01,0.016,0.08,0.0028,0.005,0.14,0.03,0.09,497,0.092,0.168,0.02,0.085,0.016,0.004,0.016,0.002,0.011,0.003,0.012,0.002,0.021,0.004,0.001,0.01,0.003,0.023,0.007,0.0014,0.01,0.076,<LQ,0.22,19.6,<LQ,2.13,18.2,0.2,1.5,23.9,333.4,292.2,216.71,6.48,-40.1,-6.65,13.1,287243,7484441
w37,2019/04,0.47,0.07,2.6,6273,2057,8.91,11101,746,4353,0.8,0.13,0.15,0.46,11.2,5.77,0.04,0.08,0.1,0.76,0.004,0.008,0.06,1.3,2.29,55.2,0.05,0.008,0.016,0.01,0.0028,0.008,0.14,0.01,0.02,93.9,0.08,0.087,0.014,0.05,0.007,0.002,0.007,0.001,0.004,0.001,0.003,0,0.003,0,0.001,0.01,0.003,0.021,0.007,0.0014,0.01,0.006,<LQ,0.05,7.62,<LQ,<LQ,0.25,0.19,0.76,23.9,52,311.1,33.8,5.53,-35.3,-5.62,9.66,287046,7484630
w39,2019/04,1.05,0.014,6.69,4782,3361,0.93,15649,2092,26282,0.59,0.26,0.2,0.51,532,21434,0.36,0.39,0.1,2.59,0.007,0.026,1.02,1.3,13.4,271,0.03,0.02,0.016,0.13,0.0028,0.01,0.14,0.01,0.35,337,0.014,0.022,0.002,0.011,0.004,0.002,0.004,0,0.002,0.001,0.002,0,0.003,0,0.001,0.01,0.003,0.015,0.019,0.0014,0.01,0.042,0.39,0.1,1.02,<LQ,<LQ,0.4,0.18,3.5,23.3,200.4,182.3,130.26,6.53,-27.9,-5.01,12.18,287126,7484241
w43,2019/04,0.52,0.03,3.05,5165,1634,14.68,11049,1619,4663,0.8,0.24,0.14,0.27,14.8,8.12,0.16,0.34,2.2,4.81,0.005,0.003,0.06,1.3,4.96,67.6,0.02,0.008,0.016,0,0.0028,0.008,0.14,0.01,0.03,84.7,0.028,0.05,0.006,0.024,0.005,0.001,0.004,0.001,0.003,0.001,0.002,0,0.002,0,0.001,0.01,0.003,0.018,0.012,0.001,0.01,0.009,<LQ,0.04,6.1,<LQ,0.093,0.36,0.12,0.7,25.3,51.7,323.7,33.61,5.57,-33.3,-5.37,9.66,287144,7484689
w46,2019/04,2.15,0.72,5.34,35946,5933,150.3,11421,3152,6983,0.8,0.59,0.26,0.37,287,3.14,0.2,0.61,0.44,5.64,0.048,0.056,0.1,1.3,12.5,126,3.31,0.008,0.016,0.01,0.0028,0.08,0.14,0.01,0.27,1072,4.833,10.798,1.033,3.892,0.711,0.169,0.59,0.085,0.479,0.091,0.249,0.032,0.198,0.028,0.002,0.01,0.003,0.291,0.122,0.0014,0.01,0.04,<LQ,0.16,34.4,<LQ,60.4,6.45,0.012,1.1,24.7,274.4,342.6,178.36,4.94,-35.2,-6.75,18.8,286823,7484407
river,2019/04,0.48,0.02,20.1,10365,2351,301.07,7523,5091,9252,0.41,4.22,1.8,0.39,48.1,1230,0.25,0.92,1.43,3.44,0.098,0.022,0.28,1.3,16.7,89.3,0.57,0.09,0.02,0.28,0.0028,0.004,0.14,0.2,0.11,73,1.12,2.709,0.256,0.989,0.168,0.036,0.134,0.017,0.085,0.016,0.046,0.006,0.036,0.005,0.002,0.01,0.003,0.022,0.513,0.002,0.069,0.056,<LQ,0.15,10.7,0.4,6.9,2.97,0.17,4,24.8,112.6,303,73.19,7.06,-38.3,-6.18,11.14,287035,7484680
meander,2019/04,0.15,0.01,24.1,9540,5819,159.5,3604,11004,28253,0.8,8.87,0.84,0.16,50.9,256,0.11,0.32,0.41,18.1,0.071,0.01,0.63,1.3,32.6,209,0.13,0.03,0.01,0.27,0.0028,0.008,0.14,0.04,0.1,180,0.331,0.909,0.076,0.285,0.039,0.008,0.032,0.004,0.018,0.003,0.012,0.001,0.008,0.001,0.001,0.01,0.003,0.004,0.119,0.002,0.02,0.083,<LQ,0.31,8.75,<LQ,<LQ,4.15,0.06,5.7,26.7,194.7,312,126.56,7.41,-10.7,0.21,-12.38,286964,7484343
w04,2019/10,0.46,0.01,5.36,8918,2121,0.93,7657,2674,8419,0.8,0.16,0.38,0.13,266,1753,0.39,0.24,0.09,1.93,0.006,0.008,0.26,1.4,9.46,97,0.04,0.01,0.016,0.15,0.002,0,0.14,0.01,0.34,249.5,0.0148,0.037,0.0036,0.0201,0.0062,0.0021,0.0085,0.0007,0.0049,0.0015,0.0072,0.0017,0.0176,0.0041,0.002,0.01,0.002,0.01,0.004,0.002,0.01,0.003,11.8,0.12,9.83,<LQ,<LQ,0.49,0.05,3.1,21.5,161.6,237.4,105,6.24,-24.3,-4,7.7,286989,7484336
